XVAL ,V_out ,V_discharge ,V_charge ,V_cap_diff ,V_DS_S1_INF ,V_DS_S1_SUP ,v_cap_sup 
 1.044E-02 , 2.445E+00 , 0.000E+00 , 5.000E+00 , 1.145E+00 , 2.445E+00 , 1.410E+00 , 3.590E+00 
 1.045E-02 , 2.436E+00 , 0.000E+00 , 5.000E+00 , 1.154E+00 , 2.436E+00 , 1.410E+00 , 3.590E+00 
 1.045E-02 , 2.254E+00 , 6.250E-01 , 4.375E+00 , 1.154E+00 , 2.254E+00 , 1.592E+00 , 3.408E+00 
 1.045E-02 , 4.449E-01 , 2.625E+00 , 2.375E+00 , 1.146E+00 , 2.192E-02 , 3.832E+00 , 1.168E+00 
 1.045E-02 , 4.012E-01 , 3.812E+00 , 1.188E+00 , 1.141E+00 ,-3.486E-01 , 4.208E+00 , 7.923E-01 
 1.045E-02 , 1.125E+00 , 5.000E+00 , 4.367E-09 , 1.136E+00 ,-7.682E-03 , 3.872E+00 , 1.128E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 ,-1.247E-04 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 , 3.427E-05 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 ,-1.137E-04 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 , 3.090E-05 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 ,-1.126E-04 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 , 3.052E-05 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 ,-1.124E-04 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.136E+00 , 5.000E+00 , 0.000E+00 , 1.136E+00 , 3.049E-05 , 3.864E+00 , 1.136E+00 
 1.045E-02 , 1.135E+00 , 5.000E+00 , 0.000E+00 , 1.135E+00 ,-1.124E-04 , 3.865E+00 , 1.135E+00 
 1.045E-02 , 1.133E+00 , 5.000E+00 , 0.000E+00 , 1.133E+00 , 3.058E-05 , 3.867E+00 , 1.133E+00 
 1.046E-02 , 1.127E+00 , 5.000E+00 , 0.000E+00 , 1.127E+00 ,-1.121E-04 , 3.873E+00 , 1.127E+00 
 1.049E-02 , 1.111E+00 , 5.000E+00 , 0.000E+00 , 1.111E+00 , 3.139E-05 , 3.889E+00 , 1.111E+00 
 1.050E-02 , 1.101E+00 , 5.000E+00 , 0.000E+00 , 1.101E+00 ,-1.112E-04 , 3.899E+00 , 1.101E+00 
